,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,30-Jan-2018,15.5,,3.5,,23%
1,3/2018,23-Feb-2018,5.0,,1.0,,20%
2,4/2018,26-Mar-2018,12.5,,4.5,,36%
3,5/2018,25-Apr-2018,0.0,,0.0,,0%
