,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,29-Jan-2018,8.5,,2.0,,24%
1,3/2018,27-Feb-2018,11.5,,1.5,,13%
2,4/2018,26-Mar-2018,22.5,,8.5,,38%
3,5/2018,25-Apr-2018,0.0,,0.0,,0%
