,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,30-Jan-2018,17.0,,4.0,,24%
1,3/2018,23-Feb-2018,9.5,,2.5,,26%
2,4/2018,26-Mar-2018,31.5,,11.0,,35%
3,5/2018,26-Apr-2018,13.0,,5.5,,42%
