,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,29-Jan-2018,18.5,,4.5,,24%
1,3/2018,27-Feb-2018,21.0,,4.5,,21%
2,4/2018,26-Mar-2018,38.5,,15.0,,39%
3,5/2018,25-Apr-2018,12.0,,7.0,,58%
