,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,30-Jan-2018,9.5,,2.0,,21%
1,3/2018,23-Feb-2018,5.0,,1.5,,30%
2,4/2018,27-Mar-2018,16.0,,5.5,,34%
3,5/2018,25-Apr-2018,0.0,,0.0,,0%
