,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,30-Jan-2018,9.5,,2.5,,26%
1,3/2018,28-Feb-2018,4.0,,0.5,,13%
2,4/2018,26-Mar-2018,16.5,,5.0,,30%
3,5/2018,25-Apr-2018,0.0,,0.0,,0%
