,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,30-Jan-2018,12.0,,3.0,,25%
1,3/2018,23-Feb-2018,5.0,,1.5,,30%
2,4/2018,26-Mar-2018,25.5,,8.5,,33%
3,5/2018,25-Apr-2018,0.0,,0.0,,0%
