,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,1/2018,26-Dec-2017,3.0,,0.5,,17%
1,2/2018,29-Jan-2018,8.0,,2.0,,25%
2,3/2018,25-Feb-2018,8.0,,2.0,,25%
3,4/2018,27-Mar-2018,22.0,,8.5,,39%
4,5/2018,25-Apr-2018,0.0,,0.0,,0%
