,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,30-Jan-2018,13.5,,3.5,,26%
1,3/2018,23-Feb-2018,9.0,,2.5,,28%
2,4/2018,26-Mar-2018,48.0,,16.0,,33%
3,5/2018,25-Apr-2018,23.0,,10.0,,43%
