,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,30-Jan-2018,16.0,,4.0,,25%
1,3/2018,23-Feb-2018,9.5,,3.0,,32%
2,4/2018,27-Mar-2018,26.5,,10.0,,38%
3,5/2018,25-Apr-2018,0.5,,0.5,,100%
