,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,31-Jan-2018,75.5,,29.0,,38%
1,3/2018,23-Feb-2018,70.0,,29.0,,41%
2,4/2018,27-Mar-2018,131.5,,53.5,,41%
3,5/2018,25-Apr-2018,115.0,,58.5,,51%
