,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,1/2018,26-Dec-2017,4.0,,1.0,,25%
1,2/2018,27-Jan-2018,12.5,,2.5,,20%
2,3/2018,22-Feb-2018,12.0,,3.0,,25%
3,4/2018,26-Mar-2018,33.5,,11.5,,34%
4,5/2018,24-Apr-2018,0.0,,0.0,,0%
