,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,1/2018,28-Dec-2017,2.5,,1.0,,40%
1,2/2018,30-Jan-2018,15.0,,4.0,,27%
2,3/2018,26-Feb-2018,15.5,,3.0,,19%
3,4/2018,29-Mar-2018,32.0,,14.0,,44%
4,5/2018,26-Apr-2018,4.0,,2.5,,63%
