,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,01-Feb-2018,4.5,,1.0,,22%
1,3/2018,28-Feb-2018,2.0,,0.5,,25%
2,4/2018,29-Mar-2018,3.0,,0.5,,17%
