,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,2/2018,29-Jan-2018,17.0,,4.5,,26%
1,3/2018,27-Feb-2018,22.5,,5.0,,22%
2,4/2018,26-Mar-2018,48.5,,19.0,,39%
3,5/2018,26-Apr-2018,18.5,,9.5,,51%
