,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,1/2018,26-Dec-2017,0.0,,0.0,,0%
1,2/2018,29-Jan-2018,6.0,,1.5,,25%
2,3/2018,22-Feb-2018,3.5,,0.5,,14%
3,4/2018,26-Mar-2018,8.0,,3.5,,44%
4,5/2018,24-Apr-2018,0.0,,0.0,,0%
