,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,1/2018,27-Dec-2017,2.5,,1.0,,40%
1,2/2018,26-Jan-2018,18.0,,3.5,,19%
2,3/2018,23-Feb-2018,10.0,,3.0,,30%
3,4/2018,25-Mar-2018,40.0,,14.0,,35%
4,5/2018,24-Apr-2018,8.0,,4.0,,50%
