,Date,Measured Date,Depth,Unnamed: 3,W.C.,Unnamed: 5,Density
0,1/2018,26-Dec-2017,0.0,,0.0,,0%
1,2/2018,28-Jan-2018,3.0,,1.0,,33%
2,3/2018,24-Feb-2018,0.0,,0.0,,0%
3,4/2018,30-Mar-2018,4.0,,2.0,,50%
4,5/2018,24-Apr-2018,0.0,,0.0,,0%
